song_id,duration_ms,explicit,artist_id,num_of_artists,danceability,energy,loudness,speechiness,tempo,outcome
7k6A0cQ8XrBbKImIq0JBwM,288013,FALSE,7EQ0qTo7fWT7DPxmxtSYEc,4,0.631852,0.809132,-6.226,0.218586,80.075,0
5ygOKK5jx5AnAQ08Q02JmD,279973,FALSE,54Xuca1P5nDqfKYZGDfHxl,1,0.431671,0.930981,-5.504,0.051345,124.002,0
5hheGdf1cb4rK0FNiedCfK,342821,FALSE,05fG473iIaoy82BF1aGhL8,1,0.397663,0.93902,-2.865,0.064825,92.027,0
3dUbhcZs4SwghUWELCFrJI,320654,FALSE,48xCatjXaoohtyOHrHTijG,2,0.808179,0.77643,-4.155,0.061767,128.014,0
01wKeKPgYxdPYA8rfMveYc,426996,TRUE,6aaMZ3fcfLv4tEbmY7bjRM,3,0.682786,0.716995,-3.698,0.258477,90.122,0
2AKA3AI93dlbYrNblJMrRK,146493,FALSE,6wpI4AEN6UO7ksNN23RGEf,1,0.458288,0.381309,-11.26,0.050849,85.779,0
1KM1UMZe93xmBswZRFLUsL,268813,TRUE,7bXgB6jMjp9ATFy66eO08Z,2,0.570926,0.597549,-7.987,0.292332,145.264,0
33rrnCAOc1yoEAPbs8ZGL0,231040,FALSE,2yMJGKSRgxIniMnq30FAzX,1,0.766173,0.874825,-4.456,0.119781,97.344,0
5Ht7dNQAH8b8JAewSTYKC5,204016,FALSE,1XkoF8ryArs86LZvFOkbyr,1,0.510382,0.483064,-7.739,0.169716,143.234,0
4GtcDcB7VdaURKgfbgQks9,190026,FALSE,50OApTJurDusIo9dGTqSU4,1,0.70555,0.247948,-9.008,0.033572,94.015,0
71tmeC6QueUv1HGq9Lc8iO,219106,FALSE,3IXfNkd6BwjYA48aNCPDI8,1,0.644563,0.754627,-5.801,0.035194,117.009,0
3aOrMh1ND3XLHukGJrizaJ,180000,FALSE,6w5waykNLa0CSprI42WPLo,3,0.845862,0.732193,-5.084,0.127782,92.043,0
2uJdGXy9wZ70QUi4Rf8UHF,215400,FALSE,5ILMkt5lW4KAyTXMNYWaGF,1,0.770298,0.413931,-8.334,0.538331,176.072,0
47z9VJHKlnYa1EWGSQtiLg,337485,FALSE,4xgFgBZ7CRtgtHcziClOwQ,1,0.721967,0.678412,-5.532,0.08524,128,0
2ksz7APg5xkV2HGnaiH3ao,277800,FALSE,2o18h28enlHxj887tATc58,1,0.197444,0.96318,-4.973,0.070984,80.025,0
5LYPsIl8ls31G2jEu8WqGG,270666,FALSE,54Xuca1P5nDqfKYZGDfHxl,1,0.410042,0.962389,-4.176,0.064543,146.034,0
0acDuvqkxNGBstX5FrbbO0,214137,FALSE,4C7Jub0HKSYe6F1wsB8eTf,3,0.618697,0.945778,-3.45,0.239582,164.04,0
1GYQChqWWE5WrMdQcLi7r8,261041,FALSE,38KloDVtS6kT7BSU00ZHnn,2,0.847219,0.697897,-5.216,0.187813,101.019,0
0e4Gocjke0EsAINL5ET39S,191733,FALSE,6f3he2xOHHHSZ0JVhTRIVj,1,0.255493,0.063275,-15.556,0.03487,167.298,0
7nToEPuB95Y5rsJ3VrH3wQ,220653,FALSE,2gsggkzM5R49q6jpPvazou,1,0.658251,0.735311,-2.666,0.043593,143.888,0
6PaD0mEiwjN9SR31lyd5ty,266640,FALSE,5Pwc4xIPtQLFEnJriah9YJ,1,0.432684,0.74254,-5.783,0.04498,127.986,0
4uJhciJPrTCMYvi7KvmZ7U,239913,FALSE,6rY7BnlEpTaKcTSORE1ueW,3,0.605466,0.838768,-6.094,0.076867,95.024,0
1HNs07uZxZniPNmniw2GTa,293040,TRUE,6l3HvQ5sa6mXTsMTB19rO5,1,0.80279,0.52342,-10.082,0.070746,134.005,0
2d1joI2KWKX5qjozHwL9ra,226000,FALSE,6m8M9tDFB1naIfQC8vLPs6,2,0.537807,0.953094,-4.351,0.164033,119.968,0
7GPstnufSTScEaw9dMxO9H,216234,FALSE,7tYKF4w9nC0nq9CsPZTHyP,2,0.761027,0.338402,-9.098,0.039263,100.004,0
1UA3O0Oxo4hsLrPHGVmD09,168360,FALSE,0XUnVZH89w9TtfZmaxnt6t,1,0.316863,0.968402,-2.919,0.10763,141.415,0
6lbhWl34Il0WXm5pX1fM9E,231093,TRUE,3aQeKQSyrW4qWr35idm0cy,2,0.776484,0.533433,-5.513,0.058081,97.004,0
3qpj0CQMDOus6mui8qB7T5,169846,FALSE,6xlRSRMLgZbsSNd0BMobwy,3,0.79623,0.680754,-3.857,0.226947,129.961,0
2u2fseIt359oKZoq6TxM6C,227194,TRUE,5lHRUCqkQZCIWeX7xG4sYT,1,0.590016,0.399459,-11.509,0.184875,140.001,0
0J5yZ8WhWPyNnDYg1EWN4J,218095,FALSE,42IUN9kTPdUdI1kre6L7Wk,1,0.809769,0.874289,-4.874,0.085632,94.324,0
2BYTWjVy2cnGENcG24j7QA,250613,FALSE,5ILMkt5lW4KAyTXMNYWaGF,2,0.684992,0.634978,-4.655,0.190705,149.857,0
1XM48g8LlfvcZVePDSStJR,269653,TRUE,5IcR3N7QB1j6KBL8eImZ8m,2,0.711805,0.850594,-8.146,0.287666,94.112,0
2HDTwGn4mA9pRC2hMSs7jW,221356,FALSE,2TL8gYTNgD6nXkyuUdDrMg,1,0.635212,0.27599,-13.003,0.031062,112.928,0
4WmS1ZuledEAlrpJv1E22s,215880,TRUE,02kJSzxNuaWGqwubyUba0Z,2,0.676705,0.562198,-8.788,0.199115,140.085,0
4MqvdP764QU2koRj1WjYgu,504880,FALSE,54Xuca1P5nDqfKYZGDfHxl,1,0.345394,0.697824,-8.449,0.054776,118.043,0
3jVtllWS5CFFWLQng8sKsr,227000,TRUE,0NIIxcxNHmOoyBx03SfTCD,2,0.689449,0.59346,-9.416,0.115254,101.029,0
4N0VFSI2wJu2NzwUuI0sMz,222164,FALSE,7tYKF4w9nC0nq9CsPZTHyP,1,0.601311,0.548104,-8.763,0.343802,74.149,0
50ehr3JEw2C5u8pCyT4Epd,247506,FALSE,2yMJGKSRgxIniMnq30FAzX,4,0.839381,0.462815,-7.57,0.347866,89.983,0
0HV1cGoX5ASBlPA1pqH8fG,216004,FALSE,3XHO7cRUPCLOr6jwp8vsx5,1,0.54278,0.706578,-7.636,0.070026,143.915,0
0OK1jUjCXOP0Sl5rjwAAMe,229247,FALSE,5G2CuV8p3yxLeCdLPR2z40,1,0.810663,0.445766,-9.968,0.041281,89.53,0
34gCuhDGsG4bRPIf9bb02f,281560,FALSE,6eUKZXaKkcviH0Ku9w2n3V,1,0.780443,0.44184,-6.082,0.02972,79.001,0
3mr8s7UJaK8fFlhAicCOrQ,248920,FALSE,5pFJ8lLOUnyEaNrrf7D1KK,1,0.557552,0.884741,-5.876,0.05056,155.621,0
3DG41jyW4vE0MhUvyTOFaw,219871,FALSE,6qJ61DomA73g7jQEKESw9Z,1,0.284488,0.994647,-3.029,0.114476,149.999,0
7CgdCjIpdoHEm5JazV4Fjz,208400,FALSE,6L7a6wPGpvLtTwOsMLnF1z,3,0.502477,0.858909,-4.325,0.026459,149.922,0
141P7NlXMEOGbaJIrvGqvi,273010,TRUE,6KZDXtSj0SzGOV705nNeh3,5,0.783358,0.471563,-8.348,0.095369,97.995,0
6FZPiWVI9LrHOfKqkZLAqY,194981,FALSE,4Bb8rhvCjLOjNOl1DbFkph,1,0.432361,0.785364,-8.335,0.105496,118.999,0
4eeU4JV4jyV85LHQ6vwJEF,260204,FALSE,0hprEC0nsWuQPSHag1O2Vi,2,0.607571,0.791251,-6.627,0.03365,129.996,0
2UIrmdNNlGHeprK9Mr5Cxa,233978,TRUE,5LHRHt1k9lMyONurDHEdrp,1,0.65752,0.4312,-4.818,0.055609,79.009,0
6Aj2H0Z0v0JgnSfPEwCgW0,234284,TRUE,7tYKF4w9nC0nq9CsPZTHyP,2,0.508382,0.716486,-6.893,0.112134,131.87,0
6ASyZmBchM38God6N9mIWd,252840,TRUE,5IcR3N7QB1j6KBL8eImZ8m,2,0.617624,0.832139,-4.687,0.270034,82.018,0
