song_id,duration_ms,explicit,artist_id,num_of_artists,danceability,energy,loudness,speechiness,tempo,outcome
5WouyjygEHLovnGhqNblhb,278492,FALSE,1iplPnyLRyqUO59CmJCZWX,1,0.788171,0.928483,-7.886,0.063395,131.041,0
6tp4geEvAVuQ5cpNFlCJgw,281142,TRUE,6S2tas4z6DyIklBajDqJxI,1,0.451498,0.779811,-5.508,0.341856,70.27,0
1BMDaiVYDREQnrQZA7Drpk,396968,FALSE,4Cqia9vrAbm7ANXbJGXsTE,1,0.563129,0.536701,-5.732,0.034571,121.069,0
07mNy0cXW4SVugPPBHXP6U,378013,FALSE,3H7Ez7cwaYw4L3ELy4v3Lc,1,0.208203,0.636538,-8.016,0.034149,88.934,0
6rKfnpSyHhdVrukCPZT3hK,182374,FALSE,1wvqnNcuPa2TpcFvfh3co5,1,0.471826,0.170267,-16.424,0.02784,84.299,0
4B0tKXJguUl5YqW5wDcjNe,228400,TRUE,7bXgB6jMjp9ATFy66eO08Z,2,0.7519,0.638461,-5.043,0.080993,97.981,0
6HFbq7cewJ7rPiffV0ciil,268466,FALSE,4gzpq5DPGxSnKTe4SA8HAU,1,0.542656,0.565531,-9.055,0.027773,125.005,0
12IxwxaJs36W17mzbniOrk,189333,FALSE,3dkbV4qihUeMsqN4vBGg93,1,0.683242,0.46161,-10.413,0.028196,109.409,0
3ZlxJzXV4Sday9KGTKZxks,262760,FALSE,5aBxFPaaGk9204ssHUvXWN,1,0.584839,0.640931,-6.536,0.032231,113.411,0
0OaVKkD38NbRM4dulYTEXG,214613,FALSE,6Tm0hIf7nSjDziOzpGFzKl,1,0.58837,0.822174,-5.837,0.054526,170.041,0
0OQEbDJX7Cdp8n7wqcATAi,46066,FALSE,2P87oRX5tCFl1PYQRbPCPD,1,0.667118,0.570997,-7.363,0.224686,163.99,0
5BIMB67xASWCpxK15rzVnX,288395,FALSE,2o5jDhtHVPhrJdv3cEQ99Z,1,0.763418,0.728383,-8.393,0.038361,119.99,0
3JceTK6a1D2gcnbNcbbXTM,398506,TRUE,4LLpKhyESsyAXpc4laK94U,2,0.584966,0.610031,-7.658,0.309792,148.383,0
32XC8EvpugPAm9dhI0Jabm,231773,TRUE,5IcR3N7QB1j6KBL8eImZ8m,1,0.65566,0.919002,-3.956,0.374225,129.054,0
3VbZWmcch6TjaVplOvrOtZ,215706,FALSE,2yMJGKSRgxIniMnq30FAzX,2,0.719085,0.730163,-7.435,0.33425,91.562,0
0P0sNgT44AP28SkRiBcpP5,237429,TRUE,3tdsh4B7GuigHI4vPtUs87,1,0.716392,0.85207,-4.587,0.089131,139.963,0
21tQ61tNj6qbXbDwmSIPt9,223053,TRUE,13ubrt8QOOCPljQ2FL1Kca,2,0.912998,0.719924,-4.427,0.179408,114.942,0
3AB2Zokp1rftnKOjRndRgw,214600,FALSE,2P87oRX5tCFl1PYQRbPCPD,1,0.733942,0.652376,-5.004,0.241712,80.972,0
0XNpAgaUtU6HvYYA5nhyUB,224440,FALSE,370RJTpcgcUSfYTR3gau1x,2,0.61659,0.764798,-5.268,0.069773,79.966,0
6at8cg9miG9yqTk0n2fkFK,153293,FALSE,3Rsr4Z96O6U3lToOiV3zBh,1,0.495327,0.338917,-9.239,0.033119,95.053,0
3c2CC7T4J6XLBdaQS0Xgtz,239012,FALSE,0u2FHSq3ln94y5Q57xazwf,1,0.644703,0.950269,-4.365,0.042553,130.036,0
