song_id,duration_ms,explicit,artist_id,num_of_artists,danceability,energy,loudness,speechiness,tempo,acousticness,key,liveness,mode,time_signature,valence,outcome
3OgesRs9A97HaLMZEWBM9a,251613,FALSE,5y2Xq6xcjJb2jVM54GHK3t,1,0.59805,0.75538,-5.776,0.030135,127.996,0.000268,5,0.094203,0,4,0.174785,1
3W3KtDwAIg3mAruSpnfG3Q,199938,TRUE,5yG7ZAZafVaAlMTeBybKAL,2,0.912566,0.700042,-4.672,0.072712,94.985,0.088625,10,0.090382,0,4,0.38097,1
74fpNVAJrKGQuqHETi4WSt,198907,FALSE,163tK9Wjr9P9DmM0AVK7lm,1,0.759181,0.555604,-8.956,0.062092,90.015,0.022473,0,0.296755,1,4,0.428224,1
0qcr5FMsEO85NAQjrlDRKo,223840,FALSE,73Np75Wv2tju61Eo9Zw4IR,1,?,?,?,?,?,?,?,?,?,?,?,1
6xCNYRfzZtoQRo1xruPmNq,193920,FALSE,66CXWjxzNUsdJxJ2JdwvnR,2,0.65126,0.7985,-5.355,0.187254,103.021,0.0229,1,0.265937,0,4,0.618905,1
1JCCdiru7fhstOIF4N7WJC,237247,FALSE,5Rl15oVamLq7FbSb0NNBNy,1,0.457682,0.469816,-5.739,0.033882,101.875,0.02747,2,0.117705,1,4,0.110802,1
4G8gkOterJn0Ywt6uhqbhp,186813,FALSE,53XhwfbYqKCa1cC15pYq2q,1,0.464454,0.670427,-8.355,0.064177,136.248,0.140495,9,0.320679,1,4,0.216959,1
4eLSCSELtKxZwXnFbNLXT5,189840,FALSE,53XhwfbYqKCa1cC15pYq2q,1,0.671869,0.876415,-8.253,0.092178,100.017,0.023166,0,0.067794,1,4,0.880091,1
3cHyrEgdyYRjgJKSOiOtcS,204160,FALSE,0TnOYISbd1XYRBk9myaseg,2,0.58353,0.9603,-3.968,0.101705,129.964,0.031242,11,0.139946,1,4,0.804947,1
6g1NlCpW7fgqDnWbCCDrHl,247426,FALSE,1vCWHaC5f2uS3yhpwWbIA6,1,0.515522,0.660367,-9.737,0.055788,124.055,0.003924,2,0.184575,1,4,0.64824,1
0ifSeVGUr7py5GggttDhXw,188754,FALSE,6JL8zeS1NmiOftqZTRgdTz,1,0.791114,0.854192,-4.309,0.061759,134.033,0.041659,9,0.111222,1,4,0.962221,1
2vwlzO0Qp8kfEtzTsCXfyE,221360,FALSE,5YGY8feqx7naU7z4HrwZM6,1,0.498138,0.331395,-11.389,0.035741,119.918,0.353705,5,0.111118,1,4,0.326537,1
1fzJyTCKeZuTSLByCsLRHl,192789,FALSE,4gwpcMTbLWtBUlOijbVpuu,1,0.652213,0.776569,-5.681,0.030142,117.949,0.00022,0,0.07305,1,5,0.809152,1
07nH4ifBxUB4lZcsf44Brn,212960,FALSE,7CajNmpbOovFoOoasH2HaY,2,0.636889,0.823335,-5.43,0.057841,127.995,0.029816,0,0.554369,0,4,0.369038,1
3wx2kQWPn9p5UppQbNhPAk,192160,FALSE,2kucQ9jQwuD8jWdtR9Ef38,1,0.515927,0.952762,-3.828,0.062373,171.971,0.099589,9,0.349233,1,4,0.848842,1
0FDzzruyVECATHXKHFs9eJ,268466,FALSE,4gzpq5DPGxSnKTe4SA8HAU,1,0.542656,0.565531,-9.055,0.027773,125.005,0.006731,6,0.324231,1,4,0.191082,1
1o4XQ7tYJrDxgEpJufbOI8,217346,FALSE,2qxJFvFYMEDqd7ui6kSAcq,2,0.602412,0.649337,-5.769,0.040738,127.999,0.118385,8,0.099435,1,4,0.452067,1
4B4zDmbHdkXZ1wUJv1yKFy,193295,FALSE,07YZf4WDAMNwqr4jfgOZ8y,2,0.697038,0.613191,-6.66,0.240813,81.95,0.071882,9,0.35934,0,4,0.680241,1
4nVBt6MZDDP6tRVdQTgxJg,245493,FALSE,4AK6F7OLvEQ5QYCBNiQWHq,1,0.576926,0.664001,-7.672,0.055294,121.094,0.226265,3,0.169477,1,4,0.300134,1
0Rz1KXsP4bhGxs0ffySSSn,263826,FALSE,0ZrpamOxcZybMHGg1AYtHP,3,0.864211,0.609989,-4.775,0.040292,119.99,0.003616,7,0.078133,1,4,0.83351,1
2Oehrcv4Kov0SuIgWyQY9e,175200,FALSE,53XhwfbYqKCa1cC15pYq2q,1,0.486108,0.730505,-2.951,0.036912,90.026,0.144142,3,0.311512,1,4,0.373661,1
5b88tNINg4Q4nrRbrCXUmg,232720,FALSE,2RdwBSPQiwcmiDo9kixcl8,1,0.651098,0.809944,-4.61,0.179313,160.047,0.220501,5,0.096054,0,4,0.960054,1
1huvTbEYtgltjQRXzrNKGi,219840,FALSE,6eUKZXaKkcviH0Ku9w2n3V,1,0.805062,0.553462,-8.498,0.061271,95.044,0.01076,1,0.327129,1,4,0.853958,1
18AJRdgUoO9EYn11N7xzaT,209160,FALSE,4NHQUGzhtTLFvgF5SZesLK,1,0.734326,0.652878,-3.465,0.030507,110.019,0.065022,5,0.082071,1,4,0.367879,1
5SsR3wtCOafDmZgvIdRhSm,216013,TRUE,5IcR3N7QB1j6KBL8eImZ8m,1,0.60189,0.795234,-8.099,0.070131,112.001,0.00479,3,0.183481,1,4,0.396285,1
