duration_ms,explicit,artist_id,num_of_artists,danceability,energy,loudness,speechiness,tempo,acousticness,key,liveness,mode,time_signature,valence,outcome
251613,FALSE,5y2Xq6xcjJb2jVM54GHK3t,1,0.59805,0.75538,-5.776,0.030135,127.996,0.000268,5,0.094203,0,4,0.174785,1
199938,TRUE,5yG7ZAZafVaAlMTeBybKAL,2,0.912566,0.700042,-4.672,0.072712,94.985,0.088625,10,0.090382,0,4,0.38097,1
198907,FALSE,163tK9Wjr9P9DmM0AVK7lm,1,0.759181,0.555604,-8.956,0.062092,90.015,0.022473,0,0.296755,1,4,0.428224,1
223840,FALSE,73Np75Wv2tju61Eo9Zw4IR,1,?,?,?,?,?,?,?,?,?,?,?,1
193920,FALSE,66CXWjxzNUsdJxJ2JdwvnR,2,0.65126,0.7985,-5.355,0.187254,103.021,0.0229,1,0.265937,0,4,0.618905,1
237247,FALSE,5Rl15oVamLq7FbSb0NNBNy,1,0.457682,0.469816,-5.739,0.033882,101.875,0.02747,2,0.117705,1,4,0.110802,1
186813,FALSE,53XhwfbYqKCa1cC15pYq2q,1,0.464454,0.670427,-8.355,0.064177,136.248,0.140495,9,0.320679,1,4,0.216959,1
189840,FALSE,53XhwfbYqKCa1cC15pYq2q,1,0.671869,0.876415,-8.253,0.092178,100.017,0.023166,0,0.067794,1,4,0.880091,1
204160,FALSE,0TnOYISbd1XYRBk9myaseg,2,0.58353,0.9603,-3.968,0.101705,129.964,0.031242,11,0.139946,1,4,0.804947,1
247426,FALSE,1vCWHaC5f2uS3yhpwWbIA6,1,0.515522,0.660367,-9.737,0.055788,124.055,0.003924,2,0.184575,1,4,0.64824,1
188754,FALSE,6JL8zeS1NmiOftqZTRgdTz,1,0.791114,0.854192,-4.309,0.061759,134.033,0.041659,9,0.111222,1,4,0.962221,1
221360,FALSE,5YGY8feqx7naU7z4HrwZM6,1,0.498138,0.331395,-11.389,0.035741,119.918,0.353705,5,0.111118,1,4,0.326537,1
