duration_ms,explicit,artist_id,num_of_artists,danceability,energy,loudness,speechiness,tempo,acousticness,key,liveness,mode,time_signature,valence,outcome
363521,TRUE,7dGJo4pcD2V6oG8kP0tJRR,1,0.712201,0.838476,-2.679,0.313119,148.138,0.403322,7,0.808741,1,4,0.610386,?
199386,FALSE,2gsggkzM5R49q6jpPvazou,3,0.704522,0.723013,-4.867,0.096614,150.02,0.283124,0,0.28811,0,4,0.765032,?
227880,FALSE,3TVXtAsR1Inumwj472S9r4,2,0.723322,0.404273,-10.575,0.108641,99.959,0.004023,6,0.489167,0,4,0.266596,?
252866,FALSE,0gadJ2b9A4SKsB1RFkBb66,1,0.479445,0.53923,-7.364,0.059629,75.447,0.377044,7,0.106057,1,4,0.232653,?
240400,FALSE,77SW9BnxLY8rJ0RciFqkHh,1,0.611149,0.803093,-2.867,0.034419,124.037,0.045255,10,0.095035,1,4,0.395208,?
323480,TRUE,6vWDO969PvNqNYHIOW5v0m,2,0.591495,0.609116,-7.132,0.047098,140.006,0.009252,5,0.217079,0,4,0.378521,?
237626,FALSE,1PbBg2aYjWLKRk84zJK15x,1,0.712055,0.666017,-6.282,0.035091,129.965,0.035986,8,0.127242,1,4,0.765906,?
269560,FALSE,5y2Xq6xcjJb2jVM54GHK3t,1,0.472182,0.237007,-8.231,0.031833,125.087,0.923297,8,0.131078,1,4,0.33957,?
231211,FALSE,0X2BH1fck6amBIoJhDVmmJ,1,0.309802,0.760568,-5.055,0.068164,173.983,0.311176,10,0.101462,0,4,0.277317,?
214840,FALSE,66CXWjxzNUsdJxJ2JdwvnR,2,0.677759,0.731065,-4.54,0.046901,129.96,0.009793,7,0.115134,0,4,0.282723,?
192670,FALSE,2wY79sveU1sp5g7SokKOiI,1,0.67302,0.800463,-7.024,0.160048,134.024,0.212096,2,0.150437,1,4,0.725874,?
193058,FALSE,163tK9Wjr9P9DmM0AVK7lm,1,0.688761,0.620412,-6.761,0.093719,99.984,0.167274,6,0.101067,1,4,0.477785,?
258342,FALSE,5BcAKTbp20cv7tC5VqPFoC,1,0.633498,0.882653,-6.573,0.083905,146.047,0.020583,2,0.107481,1,4,0.864479,?
227000,TRUE,0NIIxcxNHmOoyBx03SfTCD,2,0.689449,0.59346,-9.416,0.115254,101.029,0.062666,9,0.577214,1,4,0.370598,?
247520,FALSE,0awl5piYwO0CDTHEkCjUhn,1,0.72295,0.623482,-7.323,0.031837,119.946,0.190586,8,0.478135,1,4,0.756344,?
175426,FALSE,2l35CQqtYRh3d8ZIiBep4v,1,0.71898,0.786687,-4.861,0.122357,102.056,0.039098,1,0.251423,1,4,0.783725,?
213733,FALSE,540vIaP2JwjQb9dm3aArA4,2,0.799259,0.665173,-7.652,0.175754,99.985,0.007873,6,0.085666,0,4,0.1192,?
250188,TRUE,7dGJo4pcD2V6oG8kP0tJRR,2,0.784499,0.850276,-3.679,0.069144,110.004,0.049186,9,0.111561,1,4,0.542323,?
