song_name,song_id,artists,album,duration_ms,explicit,artist_id,num_of_artists
3005,3Z2sglqDj1rDRMF5x0Sz2R,['Childish Gambino'],Because The Internet,234213,True,73sIBHcqh3Z3NyqHKZ7FOL,1
The Man,1FsH6OZCKLWbBgqj8JcCvO,['Aloe Blacc'],Lift Your Spirit,255906,False,0id62QV2SZZfvBn9xpmuCl,1
Shower,3DmW6y7wTEYHJZlLo1r6XJ,['Becky G'],Shower,206166,False,4obzFoKoKRHIphyHzJ35G3,1
Take Me To Church,7dS5EaCoMnN7DzlpT6aRn2,['Hozier'],Hozier (Deluxe),241688,False,2FXC3k01G6Gw61bmprjgqS,1
We Dem Boyz,2nrSQK3ooS0sOSecOvh5Aq,['Wiz Khalifa'],Blacc Hollywood,224933,True,137W8MRPWKqSmrBGDBFSop,1
Ain't It Fun,1j8z4TTjJ1YOdoFEDwJTQa,['Paramore'],Paramore,296520,False,74XFHRwlV6OrjEM0A2NCMF,1
Trumpets,6jizk5lOUnfpaZXYMdfeC6,['Jason Derulo'],Tattoos,217306,False,07YZf4WDAMNwqr4jfgOZ8y,1
Animals,4O594chXfv4lHvneDP0Ud0,['Maroon 5'],V (Deluxe),231013,False,04gDigrS5kc9YWfZHwBETP,1
Royals,2dLLR6qlu5UJ5gk0dKz0h3,['Lorde'],Pure Heroine,190185,False,163tK9Wjr9P9DmM0AVK7lm,1
Talk Dirty (feat. 2 Chainz),5l3CML2OnzfNs5RfVgbcLt,"['Jason Derulo', '2 Chainz']",Tattoos,177685,True,07YZf4WDAMNwqr4jfgOZ8y,2
La La La,36pLU2ywVeBKEF0rrKtmCB,"['Naughty Boy', 'Sam Smith']",Hotel Cabana (Deluxe Version),222200,False,1bT7m67vi78r2oqvxrP3X5,2
Play It Again,03fT3OHB9KyMtGMt2zwqCT,['Luke Bryan'],Crash My Party,226866,False,0BvkDsjIUla7X0k6CSWh1I,1
