song_name,song_id,artists,album,duration_ms,explicit,artist_id,num_of_artists,danceability,energy,loudness,speechiness,tempo,song_title_en
Know Who You Are,3TqB8DN04EObtSyM2Yplhn,"['Pharrell Williams', 'Alicia Keys']",G I R L,236920,False,2RdwBSPQiwcmiDo9kixcl8,2,0.643577,0.492532,-7.181,0.188845,182.32,Know Who You Are
Leyndarmál,44eaX3TMmotL9OX9iGTfm4,['\xc3\x81sgeir'],In the Silence (The Deluxe Edition),217426,False,7xUZ4069zcyBM4Bn10NQ1c,1,0.724402,0.497567,-10.165,0.030252,99.964,Leyndarmál
Lugna Mä Reklix,0fjm1OlNI55UKaGC12Cuvd,"['Kusten Klick', 'Kalle Gracias', 'Rasmu$ L', 'Griljon\xc3\xa4ren', 'Jakk Who', 'Ulysses S. Big', 'Mick J\xc3\xa4ger', 'Hedman']",Kusten Klicktape,244986,False,4mAknRKFOyJ4G9MTwlaw6Y,8,0.496755,0.686321,-6.995,0.274571,139.169,Lugna Mä Reklix
R E A L,2cjXVAnbyKcddqr7IgpGWH,['LE YOUTH'],R E A L,205026,False,1Zz6NBe8UIZjm88TvehFtx,1,0.772115,0.768866,-6.387,0.137089,114.984,R E A L
Let It Go,1GYQChqWWE5WrMdQcLi7r8,"['Katerina', 'Johnson']",G I R L,261041,False,38KloDVtS6kT7BSU00ZHnn,2,0.847219,0.697897,-5.216,0.187813,101.019,Let It Go
Lucky L - Sean & Bobo Remix,5T9vbEhTP57hGpqgkQZOeU,['B Case'],Lucky L (Remixes),304350,False,1o9x7ez0NvhDb7gBqrYnUj,1,0.620225,0.776252,-3.495,0.044508,130.023,Lucky L (Sean & Bobo Remix)
B A K L,6FZPiWVI9LrHOfKqkZLAqY,['Loney Dear'],B A K L,194981,False,4Bb8rhvCjLOjNOl1DbFkph,1,0.432361,0.785364,-8.335,0.105496,118.999,B A K L
"Happy - From ""Despicable Me 2""",5b88tNINg4Q4nrRbrCXUmg,['Pharrell Williams'],G I R L,232720,False,2RdwBSPQiwcmiDo9kixcl8,1,0.651098,0.809944,-4.61,0.179313,160.047,"Happy - From ""Despicable Me 2"""
Babes Anatomy 2014,3R4JhA5lrdbxhWOEsumCcx,['Adam L. Kid'],Babes Anatomy 2014,239084,False,1iplPnyLRyqUO59CmJCZWX,1,0.691079,0.774303,-5.559,0.099571,128.976,Babes Anatomy 2014
Brand New,1P5OPN8MbPgFznEp1b7OiN,"['Pharrell Williams', 'Justin Timberlake']",G I R L,271693,False,2RdwBSPQiwcmiDo9kixcl8,2,0.90362,0.857619,-6.599,0.199162,120.143,Brand New
Gush,0kbacaF66yH9McxssuJfrc,['Pharrell Williams'],G I R L,234666,False,2RdwBSPQiwcmiDo9kixcl8,1,0.797155,0.693498,-7.149,0.056367,112.011,Gush
Scream - Original Mix,0PO7e4DTQk2Yj7jX8ya7R9,"['Dani L. Mebius', 'GoldFish', 'Blink']",Scream,307500,False,7ngc403KEvIhqq8rliTPgL,3,0.719303,0.868477,-5.34,0.048289,127.983,Scream - Original Mix
Sugar Rush 2014,124kgNwCkgduC22TV1gWHh,['Adam L. Kid'],Sugar Rush 2014,240120,False,1iplPnyLRyqUO59CmJCZWX,1,0.700003,0.717376,-6.921,0.040464,129.998,Sugar Rush 2014
L-O-V-E (LOVE),12IxwxaJs36W17mzbniOrk,['Al Green'],Greatest Hits: The Best of Al Green,189333,False,3dkbV4qihUeMsqN4vBGg93,1,0.683242,0.46161,-10.413,0.028196,109.409,L-O-V-E (Love)
Hunter,53ZnKUo3p9KfXh2ahkdYhS,['Pharrell Williams'],G I R L,240920,False,2RdwBSPQiwcmiDo9kixcl8,1,0.928387,0.499297,-4.599,0.0904,110.303,Hunter
Gruppterapi,6Zdgr3BnsuNllK58MUEeru,"['Stor & Aki', 'Sanjin', 'Linda Pira', 'Dani M', 'Dajanko', 'Moms', 'Allyawan', 'Carlito', 'Mig-L']",Redline Is For The Children,314133,False,7od7WvFXOcePxvE5abwHt3,9,0.681851,0.803492,-5.113,0.30383,92.331,Gruppterapi
I Guess I'll Smoke (feat. Dizzy Wright & Layzie Bone),1SPOloLRa92Q72OBCxrpox,"['Futuristic', 'Dizzy Wright', 'Layzie Bone']",I Guess I'll Smoke (feat. Dizzy Wright & Layzie Bone),204044,True,5Z5jUyiNvFaqp0EVyLNf0p,3,0.810168,0.673036,-7.142,0.296535,123.964,I Guess I'll Smoke (feat. Dizzy Wright & Layzie Bone)
