Just A Little Bit Of Your Heart,6EF9SuEEFvCrVyV98enq5v,['Ariana Grande'],My Everything (Deluxe),232586,False,66CXWjxzNUsdJxJ2JdwvnR,95,1,2229291,0.441199,0.326403,-5.901,0.027245,77.94,Just A Little Bit Of Your Heart
I'm A Mess,0xCA70t1ZA4fa9UOE0lIJm,['Ed Sheeran'],x (Deluxe Edition),244573,False,6eUKZXaKkcviH0Ku9w2n3V,98,1,4169807,0.697427,0.377256,-7.755,0.039657,138.754,I'm A Mess
Ja ä inte bitter,2PEmBHSJO6jewBOFmUpbdE,"['Rolandz', 'Tony Rickardsson']",Ja ä inte bitter,242546,False,6cYpGRwsphKMAdkYw2KuXS,56,2,22053,0.602826,0.944279,-4.947,0.054773,130.005,Ja ä inte bitter
Pretend,6phKkVuSzTNEriX3uciCb5,"['Tinashe', 'A$AP Rocky']",Aquarius,232786,True,0NIIxcxNHmOoyBx03SfTCD,81,2,125356,0.457984,0.442041,-10.42,0.124651,122.394,Pretend
Like a Drum - The Chainsmokers Remix,6El4guLHqCd3PG9X9yJRSz,['Guy Sebastian'],Like a Drum,201647,False,5PjekOABtfU2Kwo0AHVmci,74,1,62628,0.639741,0.911138,-2.49,0.030952,126.053,Like a Drum (The Chainsmokers Remix)
U Got a Message,0I6p2wBkz42f7ykmI8RKaS,['Magic Trix'],U Got a Message,285150,False,3o8QoDLsHa5l5g2WQthUQX,44,1,573,0.668287,0.918885,-5.671,0.038333,128.023,Message
Multiply,21tQ61tNj6qbXbDwmSIPt9,"['A$AP Rocky', 'Juicy J']",Multiply,223053,True,13ubrt8QOOCPljQ2FL1Kca,93,2,622597,0.912998,0.719924,-4.427,0.179408,114.942,Multiply
I'm Not The Only One,1W3AIFwnsDJBXtktxILhC0,"['Sam Smith', 'A$AP Rocky']",I'm Not The Only One,222329,False,2wY79sveU1sp5g7SokKOiI,96,2,1647859,0.716748,0.498574,-7.123,0.047795,81.995,I'm Not The Only One
A Place Like This,1jRHh8JcdUV9zTiAmyzhU9,['Majid Jordan'],A Place Like This,261543,False,4HzKw8XcD0piJmDrrPRCYk,76,1,27747,0.56734,0.44258,-11.359,0.059691,133.642,A Place Like This
Take A Bite (Original mix),52cRLiiZBhRGvzQvQgbFcT,['Vigiland'],Take A Bite (Original Mix),197831,False,3tLYpanVDomWAZqF82NPds,75,1,21350,0.7976,0.726266,-5.107,0.071347,128.001,Take A Bite (Original Mix)
A Sky Full of Stars,0FDzzruyVECATHXKHFs9eJ,['Coldplay'],Ghost Stories,268466,False,4gzpq5DPGxSnKTe4SA8HAU,92,1,4068868,0.542656,0.565531,-9.055,0.027773,125.005,A Sky Full of Stars
Like a Drum,5hRtcfljrPHKNIwI2tmTzN,['Guy Sebastian'],Like a Drum,182133,False,5PjekOABtfU2Kwo0AHVmci,74,1,62628,0.681575,0.846016,-2.34,0.030942,130.077,Like a Drum
Once in a Lifetime,1dD1aarWotVIiFo5gGdMc2,['One Direction'],FOUR (Deluxe),158320,False,4AK6F7OLvEQ5QYCBNiQWHq,92,1,3341386,0.554394,0.334933,-5.513,0.028096,133.709,Once in a Lifetime
Once Upon a Dream,6swBtLlqbXVbtVFeHZnI5X,['Lana Del Rey'],"Once Upon a Dream (from ""Maleficent"") [Original Motion Picture Soundtrack]",203080,False,00FQb4jTyendYWaN8pK0wa,90,1,3273413,0.281401,0.333472,-14.24,0.036895,118.866,Once Upon a Dream
Edge Of A Revolution,6H8jEg2Rn2Dr2Tb0b8Ndw0,['Nickelback'],No Fixed Address,243053,True,6deZN1bslXzeGvOLaLMOIF,83,1,1195711,0.524144,0.966071,-3.335,0.043908,161.865,Edge Of A Revolution
Try to Make a Fire Burn Again,6rKfnpSyHhdVrukCPZT3hK,['Dawn Landes'],Bluebird,182374,False,1wvqnNcuPa2TpcFvfh3co5,57,1,3324,0.471826,0.170267,-16.424,0.02784,84.299,Try to Make a Fire Burn Again
"Black Pearl ""He's A Pirate"" - feat. Sidney Housen [Radio Edit]",4rfVYs5L7dCS5a3icH2brY,"['Rebel', 'Sidneyhousen']",Black Pearl,200624,False,3mcmXmpjr301UeCF2CRZLu,57,2,5146,0.470276,0.927824,-3.793,0.035268,192.01,"Black Pearl ""He's A Pirate"" - Radio Edit"
Let’s Go,4dKJg62KQiEc17sFjHhgVr,"['Ti\xc3\xabsto', 'Icona Pop']",A Town Called Paradise,202400,False,2o5jDhtHVPhrJdv3cEQ99Z,87,2,833180,0.678251,0.931417,-3.104,0.056471,128.961,Let’s Go
Say Something,5BIMB67xASWCpxK15rzVnX,['Ti\xc3\xabsto'],A Town Called Paradise,288395,False,2o5jDhtHVPhrJdv3cEQ99Z,87,1,833180,0.763418,0.728383,-8.393,0.038361,119.99,Say Something
Skippin A Beat,1LzUePK6959M55BQiOFw9g,['Zara Larsson'],1,163861,False,1Xylc3o4UrD53lo9CvFvVg,73,1,65772,0.691061,0.685867,-3.279,0.078363,125.083,Skippin A Beat
Light Years Away,3pF1vsGZViOGidoMfUvElA,"['Ti\xc3\xabsto', 'DBX']",A Town Called Paradise,223147,False,2o5jDhtHVPhrJdv3cEQ99Z,87,2,833181,0.520347,0.92688,-3.846,0.106575,127.972,Light Years Away
I Am A River,1jH0OiLvqyyhUOEUu61XPI,['Foo Fighters'],Sonic Highways,428520,False,7jy3rLJdDQY21OgRLCZ9sD,85,1,1366354,0.200825,0.623852,-5.59,0.032842,165.937,I Am A River
Best Day Of My Life,5j9iuo3tMmQIfnEEQOOjxh,['American Authors'],"Oh, What A Life",194240,False,0MlOPi3zIDMVrfA9R04Fe3,76,1,174804,0.664456,0.726447,-7.54,0.031923,100.014,Best Day Of My Life
In A Week,64LJIgigkKPqqgnSO4bPR3,"['Hozier', 'Karen Cowley']",Hozier (Deluxe),318493,False,2FXC3k01G6Gw61bmprjgqS,92,2,695371,0.464625,0.268723,-12.14,0.031135,131.391,In A Week
Kul å vara full - Radio Edit,3CXbjxAXVGxaqPku5LBCWj,['Robbin & JP'],Kul å vara full,183643,False,20VnwoRNCNqGCRSrIwpNiU,38,1,114,0.723538,0.734819,-6.25,0.285939,127.921,Kul å vara full - Radio Edit
I Really Want It,27Xlqkl3rtEzAOaN4VM7zd,['A Great Big World'],Is There Anybody Out There?,202306,False,5xKp3UyavIBUsGy3DQdXeF,76,1,138880,0.764083,0.810855,-5.786,0.035738,132.983,I Really Want It
