song_name,song_id,artists,album,duration_ms,explicit,artist_id,num_of_artists,danceability,energy,loudness,speechiness,tempo,acousticness,key,liveness,mode,time_signature,valence,song_title_en,outcome
In Your Eyes - Henrik B Deep Mix,5OrR2iT1BMIS7xHxZTBFQ9,['Henrik B'],In Your Eyes (Remixes),360961,FALSE,1qM7ddO1J0S7eGGnuVmEXn,1,0.828914,0.786407,-9.522,0.04856,119.998,0.000598,1,0.134045,1,4,0.712211,In Your Eyes (Henrik B Deep Mix),0
Los Awesome,6ASyZmBchM38God6N9mIWd,"['Schoolboy Q', 'Jay Rock']",Oxymoron (Deluxe),252840,TRUE,5IcR3N7QB1j6KBL8eImZ8m,2,0.617624,0.832139,-4.687,0.270034,82.018,0.176357,11,0.072732,0,4,0.844557,Los Awesome,0
"Let's Talk About Gender Baby, Let's Talk About You And Me (planningtorock rework)",73WN27R69EwgQwD2OGKZNF,['The Knife'],F!,401506,FALSE,7eQZTqEMozBcuSubfu52i4,1,0.923276,0.412979,-13.557,0.109869,126.004,0.023271,9,0.135496,0,4,0.608292,"Let's Talk About Gender Baby, Let's Talk About You And Me (Planningtorock rework)",0
Feel The Love - Radio Mix,1BapjD4yGHAgDwvdGnlRBs,"['Fedde Le Grand', 'Michael Calfan', 'Max C']",Feel The Love,171002,FALSE,7dc6hUwyuIhrZdh80eaCEE,3,0.577232,0.896058,-1.435,0.054702,128.037,0.029939,2,0.23282,0,4,0.202991,Feel the Love - Radio Mix,0
ëÅ_ë¶€ë_¬ì§€ë§ˆ Don't flirt,6T5SLf3NnoYU7id5GXIZyC,['WINNER'],2014 S/S,205195,FALSE,5DuzBeOgFwViFcv00Q5PFb,1,0.785378,0.654836,-5.298,0.164384,90.04,0.099604,10,0.042272,0,4,0.841566,ëÅ_ë¶€ë_¬ì§€ë§ˆ Don't Flirt,0
You & Me (feat. W. Darling),3x94KfC5QAsqFKjUGQBH4k,"['Bassnectar', 'W. Darling']",Noise vs Beauty,244285,FALSE,1JPy5PsJtkhftfdr6saN2i,2,0.48923,0.745185,-4.095,0.034124,140.051,0.000781,7,0.306932,1,4,0.150057,You & Me (feat. W. Darling),0
Grooveline (feat. Dom Kennedy & Curren$y),7twp7dXHCYMOmKDI7MnRRs,"['Schoolboy Q', 'Curren$y', 'Dom Kennedy']",Schoolboy Q,304974,TRUE,5IcR3N7QB1j6KBL8eImZ8m,3,0.76617,0.622862,-4.07,0.083549,86.111,0.105336,10,0.801848,0,4,0.686111,Grooveline,0
U Guessed It,4UUFTQKwwId0n1P9t4ZQhx,['Og Maco'],U Guessed It - Single,146064,TRUE,0nvvVQhPQGkYTJlThLbJeu,1,0.893547,0.251841,-10.729,0.356587,119.962,0.015,1,0.08714,1,3,0.231038,U Guessed It,0
X,4Cyo444j2N3CfkbmMrbOYh,['Stoffe'],Goa LÃ¥tar,180062,FALSE,5fzHYHRUtWx4O1I4UnjMeq,1,0.758914,0.778574,-6.985,0.150689,127.969,0.007741,10,0.095336,1,4,0.455977,X,0
Marvins,3g8vKDQijO4KflgGgCH2mJ,['C Breeze'],Fireworks,271490,TRUE,24OCZDYud2BcFNevHHSEmm,1,0.369002,0.310141,-12.023,0.072861,78.409,0.586585,0,0.104543,1,4,0.320534,Marvins,0
Kom sÃ¥ ska du fÃ¥ C,1ibpGwjKnWUAe2hESHW8la,"['Bj\xc3\xb6rn Kjellman', 'Emma Molin', 'Katharina Cohen', 'Omid Khansari']",Livet i bokstavslandet,126466,FALSE,7oyKEO8256ekvp3bUGUjPS,4,0.812789,0.711579,-5.23,0.075804,142.026,0.249112,6,0.028414,1,4,0.966294,Kom sÃ¥ ska du fÃ¥ C,0
Raver - Radio Edit,792RSlDmlOyMZbvrHnJHzn,"['Jens O.', 'Special D.']",Raver,175640,FALSE,1DDMrVXQt53FwOcxBQvjwh,2,0.728557,0.919521,-4.937,0.037448,144.986,0.014185,0,0.216525,1,4,0.612726,Raver (Radio Edit),0
Big Homie (feat. Rick Ross & French Montana),1Y7zNrLqgBNgBSdrKT8DYv,"['Diddy', 'Rick Ross', 'French Montana']",Big Homie (feat. Rick Ross & French Montana),255853,TRUE,59wfkuBoNyhDMQGCljbUbA,3,0.74067,0.68715,-4.694,0.04769,123.036,0.023327,10,0.438314,0,4,0.281783,Big Homie (feat. Rick Ross & French Montana),0
Andas,6lPGFpim0Mpfm55JUAQqWU,"['Cleo', 'Kristin Amparo', 'Broke n Tipsy']",Vem E Han,271920,FALSE,1SwDFc5jX708XR3XtzLrRs,3,0.524873,0.651514,-7.41,0.203547,81.507,0.013889,0,0.130411,0,4,0.62515,Andas,0
Up 'N Away - Video Edit,1Jb9SZDqMN5Zyxiwy6eiEA,['ItaloBrothers'],Up 'N Away,187253,FALSE,5nkYRuiIHg2xXHFC8bfosJ,1,0.622997,0.871202,-3.485,0.058466,128.067,0.039249,1,0.074605,0,4,0.559553,Up 'n Away (Video Edit),0
Prayer In C,3xDwdnSZNnKg7zFagrZQGf,['Jona Selle'],Covers Vol.2,175121,FALSE,13qDiWWIa4Gb6toRGszKKP,1,0.832338,0.271869,-14.76,0.044153,123.03,0.631697,1,0.087284,1,4,0.688063,Prayer In C,0
Akta dig fÃ¶r polisen,0tEa6LE9IPh25w31VI55R1,['Ken Ring'],Det boÌˆrjade foÌˆr laÌˆngesen,218773,FALSE,2yMJGKSRgxIniMnq30FAzX,1,0.704281,0.568783,-10.069,0.251757,91.976,0.054947,11,0.017637,0,4,0.824019,Akta dig fÃ¶r polisen,0
Make Love,253rkrVR3BTWvy4agEfiH9,['C Breeze'],Fireworks,222902,TRUE,24OCZDYud2BcFNevHHSEmm,1,0.76638,0.714108,-4.852,0.070316,84.013,0.046868,11,0.055241,1,4,0.9127,Make Love,0
I Don't Fuck With You,4iEQnOoWivOB1d3s340Smk,['G-Unit'],The Beauty Of Independence,202674,TRUE,6evKD5JWJON3qPBJtUEmtY,1,0.71572,0.836378,-4.957,0.355277,139.923,0.271509,9,0.184963,0,4,0.585287,I Don't F-ck With You,0
"Partita in B-Flat Major, BWV 825: IV. Sarabande",7HRbgpb696qbFwNJZkNSc6,"['Johann Sebastian Bach', 'James Rhodes']",Five,381546,FALSE,5aIqB5nVVvmFsvSdExz408,2,0.425367,0.018099,-31.487,0.055943,129.464,0.994196,10,0.147014,1,3,0.223402,"Partita in B-Flat Major, BWV 825: IV. Sarabande",0
Slippin Around (Aerea Negrot Remix),2LOAC6rr0ik0Pco0uffskz,['Zhala'],F!,412213,FALSE,2vI70V5Tc6jB3d2uzb2UEA,1,0.714934,0.639899,-8.937,0.074643,125.009,0.003744,8,0.096439,1,4,0.461185,Slippin Around (Aerea Negrot Remix),0
Grunge Girls,6nngIxUx37IhFgBqZAdQ5Q,['Britta Persson'],F!,200493,FALSE,1p3J6laThbGvAuz642q1O6,1,0.639315,0.914702,-5.201,0.031349,107.007,0.000156,1,0.095811,1,4,0.885815,Grunge Girls,0
Rain City,6VikhlR0je8b5oWgCj7ZyU,['Devin Townsend Project'],ZÂ_,465546,FALSE,54Xuca1P5nDqfKYZGDfHxl,1,0.072403,0.659404,-7.709,0.040464,73.965,0.231027,7,0.141146,1,4,0.075752,Rain City,0
Rampage - Original Mix,0kkDvzgTbK7eCro3CvEJ6d,"['Bassjackers', 'Kenneth G']",Rampage,289246,FALSE,6xQvQwZQQuq9R3TdPNbcR8,2,0.400036,0.875297,-2.608,0.079759,127.991,0.000534,5,0.064769,0,4,0.210602,Rampage - Original Mix,0
Saturdays = Celebration,5RCMH87c3jygGIXvFrJzMU,"['Big K.R.I.T.', 'Jamie N Commons']",Cadillactica (Deluxe),254306,FALSE,0CKa42Jqrc9fSFbDjePaXP,2,0.544367,0.639837,-7.272,0.151648,92.42,0.349109,2,0.157964,1,4,0.167934,Saturdays = Celebration featuring Jamie N Commons,0
I Don't Mind,7aXuop4Qambx5Oi3ynsKQr,"['Usher', 'Juicy J']",I Don't Mind,251989,TRUE,23zg3TcAtWQy7J6upgbUnj,2,0.87212,0.46448,-8.103,0.16769,113.003,0.251633,4,0.089466,1,4,0.45989,I Don't Mind,0
GÃ¥ PÃ¥ Salong,4008dpmqe3536dNu10BVAM,"['Cleo', 'Kristin Amparo', 'Broke n Tipsy']",Vem E Han,195126,FALSE,1SwDFc5jX708XR3XtzLrRs,3,0.657342,0.630612,-6.477,0.185597,151.941,0.054181,1,0.090999,1,4,0.524477,GÃ¥ PÃ¥ Salong,0
All I Wanna Do,78IymUOv4LTdZMZfgpLFau,['T. Mills'],All I Wanna Do (EP),200973,FALSE,7BurVK5meV2DCZHt3xISE9,1,0.664764,0.696295,-6.943,0.031574,111.818,0.001668,7,0.486373,1,4,0.663732,All I Wanna Do,0
